"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","GDP","TOT","USD_CAP","A","1966",3478.770665,
"DNK","GDP","TOT","USD_CAP","A","1967",3688.28276,
"DNK","GDP","TOT","USD_CAP","A","1968",4005.784471,
"DNK","GDP","TOT","USD_CAP","A","1969",4487.21877,
"DNK","GDP","TOT","USD_CAP","A","1970",4248.52169,
"DNK","GDP","TOT","USD_CAP","A","1971",4574.864667,
"DNK","GDP","TOT","USD_CAP","A","1972",4931.344265,
"DNK","GDP","TOT","USD_CAP","A","1973",5382.129316,
"DNK","GDP","TOT","USD_CAP","A","1974",5774.161237,
"DNK","GDP","TOT","USD_CAP","A","1975",6198.669555,
"DNK","GDP","TOT","USD_CAP","A","1976",6909.512326,
"DNK","GDP","TOT","USD_CAP","A","1977",7452.578194,
"DNK","GDP","TOT","USD_CAP","A","1978",8128.810159,
"DNK","GDP","TOT","USD_CAP","A","1979",9120.602377,
"DNK","GDP","TOT","USD_CAP","A","1980",9884.854587,
"DNK","GDP","TOT","USD_CAP","A","1981",10752.294733,
"DNK","GDP","TOT","USD_CAP","A","1982",11846.504713,
"DNK","GDP","TOT","USD_CAP","A","1983",12639.97542,
"DNK","GDP","TOT","USD_CAP","A","1984",13649.592537,
"DNK","GDP","TOT","USD_CAP","A","1985",14639.303688,
"DNK","GDP","TOT","USD_CAP","A","1986",15645.101932,
"DNK","GDP","TOT","USD_CAP","A","1987",16050.794972,
"DNK","GDP","TOT","USD_CAP","A","1988",16604.997703,
"DNK","GDP","TOT","USD_CAP","A","1989",17360.536569,
"DNK","GDP","TOT","USD_CAP","A","1990",18247.650825,
"DNK","GDP","TOT","USD_CAP","A","1991",19075.690966,
"DNK","GDP","TOT","USD_CAP","A","1992",19826.832248,
"DNK","GDP","TOT","USD_CAP","A","1993",20228.549878,
"DNK","GDP","TOT","USD_CAP","A","1994",21691.165893,
"DNK","GDP","TOT","USD_CAP","A","1995",22711.794598,
"DNK","GDP","TOT","USD_CAP","A","1996",23746.219146,
"DNK","GDP","TOT","USD_CAP","A","1997",24928.302667,
"DNK","GDP","TOT","USD_CAP","A","1998",25820.590998,
"DNK","GDP","TOT","USD_CAP","A","1999",26657.827372,
"DNK","GDP","TOT","USD_CAP","A","2000",28672.330304,
"DNK","GDP","TOT","USD_CAP","A","2001",29452.760705,
"DNK","GDP","TOT","USD_CAP","A","2002",30639.953691,
"DNK","GDP","TOT","USD_CAP","A","2003",30825.225589,
"DNK","GDP","TOT","USD_CAP","A","2004",32948.16657,
"DNK","GDP","TOT","USD_CAP","A","2005",34152.881663,
"DNK","GDP","TOT","USD_CAP","A","2006",37333.84624,
"DNK","GDP","TOT","USD_CAP","A","2007",39021.411928,
"DNK","GDP","TOT","USD_CAP","A","2008",41282.995471,
"DNK","GDP","TOT","USD_CAP","A","2009",40332.516629,
"DNK","GDP","TOT","USD_CAP","A","2010",43006.150516,
"DNK","GDP","TOT","USD_CAP","A","2011",44407.94207,
"DNK","GDP","TOT","USD_CAP","A","2012",44808.549212,
"DNK","GDP","TOT","USD_CAP","A","2013",46742.939663,
"DNK","GDP","TOT","USD_CAP","A","2014",47905.477079,
"DNK","GDP","TOT","USD_CAP","A","2015",49058.142344,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57479.350221,
"DNK","GDP","TOT","USD_CAP","A","2019",59884.11738,
"DNK","GDP","TOT","USD_CAP","A","2020",60846.803672,
"DNK","GDP","TOT","USD_CAP","A","2021",64914.189543,
"DNK","GDP","TOT","USD_CAP","A","2022",74961.907363,
"FIN","GDP","TOT","USD_CAP","A","1970",3383.326818,"E"
"FIN","GDP","TOT","USD_CAP","A","1971",3633.88423,"E"
"FIN","GDP","TOT","USD_CAP","A","1972",4059.571643,"E"
"FIN","GDP","TOT","USD_CAP","A","1973",4555.554204,"E"
"FIN","GDP","TOT","USD_CAP","A","1974",5098.885262,"E"
"FIN","GDP","TOT","USD_CAP","A","1975",5647.170762,"E"
"FIN","GDP","TOT","USD_CAP","A","1976",5960.383792,"E"
"FIN","GDP","TOT","USD_CAP","A","1977",6328.210968,"E"
"FIN","GDP","TOT","USD_CAP","A","1978",6951.138934,"E"
"FIN","GDP","TOT","USD_CAP","A","1979",8043.324299,"E"
"FIN","GDP","TOT","USD_CAP","A","1980",9213.877106,
"FIN","GDP","TOT","USD_CAP","A","1981",10174.782052,
"FIN","GDP","TOT","USD_CAP","A","1982",11077.108773,
"FIN","GDP","TOT","USD_CAP","A","1983",11799.079913,
"FIN","GDP","TOT","USD_CAP","A","1984",12553.339933,
"FIN","GDP","TOT","USD_CAP","A","1985",13354.122519,
"FIN","GDP","TOT","USD_CAP","A","1986",13952.922803,
